epoch,dataset,run,val_epoch_ce,val_epoch_nll
96,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.916486782186172,
97,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.913341718561509,
0,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",5.097130523008459,
1,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",5.09248002837686,
2,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",5.086311143987319,
3,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",5.084823874866261,
4,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",5.084230563219855,
5,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",5.070661039913402,
6,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",5.0694759312798,
7,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",5.052010353873758,
8,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",5.01120906717637,
9,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.9523245306576005,
10,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.918273617239559,
11,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.90678144903744,
12,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.899844702552347,
13,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.885240246267879,
14,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.876114354414098,
15,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.872352600097656,
16,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.872024984920726,
17,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.866535579457002,
18,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.8592924510731415,
19,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.860902533811681,
20,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.855545534807093,
21,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.85194120687597,
22,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.863412380218506,
23,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.850328655803905,
24,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.844727460075827,
25,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.845695187063778,
26,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.84735107421875,
27,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.840404931236716,
28,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.837692134520587,
29,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.838228702545166,
30,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.835188388824463,
31,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.8293845653533936,
32,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.831834863213932,
33,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.837090534322402,
34,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.827315484776216,
35,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.8302545266992905,
36,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.825128541273229,
37,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.822962536531336,
38,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.8228645885691925,
39,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.828003097982967,
40,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.827400516061222,
41,iam,"Task: HTG_SFT, Repr: ScribeTokens-8 (vocab_size: 32000)",4.82386308557847,
